SMA  INTENSITY  INTENSITY_ERROR  ELLIP   ELLIP_ERROR  PA  PA_ERROR
      0.00000      1418.20  1.60000e+38  1.60000e+38  1.60000e+38  1.60000e+38  1.60000e+38
      1.00000      1241.49      6.03986     0.192062    0.0503877      84.6309      8.61613
      3.00000      823.387      3.55850     0.325648    0.0124399     -84.9426      1.37943
      5.00000      602.232      2.82892     0.431457   0.00850813     -81.2618     0.734320
      7.00000      472.187      2.44211     0.480233    0.0104180     -78.0872     0.852986
      9.00000      401.725      1.66694     0.503206    0.0100246     -75.5771     0.782615
      11.0000      358.151      2.54556     0.516352    0.0125419     -73.8060      1.07596
      13.0000      272.792      2.22580     0.316210    0.0100383     -82.1665      1.10822
      15.0000      238.214      2.21089     0.358190    0.0137682     -86.9084      1.34476
      17.0000      214.312      2.08037     0.396853    0.0142145     -86.9084      1.29465
      19.0000      206.332      1.49932     0.460736    0.0100241     -89.2034     0.808482
      21.0000      183.304      1.98794     0.465490    0.0150052     -89.2034      1.21663
      23.0000      178.830      1.85786     0.513447    0.0131712     -89.2034     0.999458
      25.0000      181.160      1.72609     0.568411   0.00956427     -88.1175     0.700726
      27.0000      171.903      1.76592     0.591630   0.00985188     -87.5999     0.710630
      29.0000      152.700      1.22225     0.581888   0.00581898     -85.6034     0.429619
      31.0000      128.177      1.00596     0.545234   0.00476225     -84.1863     0.361945
      33.0000      107.822      1.00214     0.528983   0.00612085     -85.6620     0.472259
      35.0000      96.1037     0.874728     0.532286   0.00575814     -86.4708     0.434713
      37.0000      84.4707     0.794477     0.531696   0.00602805     -86.7233     0.442294
      39.0000      77.5652     0.707659     0.539759   0.00506951     -86.1809     0.364256
      41.0000      72.6027     0.708926     0.553183   0.00617758     -85.7309     0.425574
      43.0000      69.9145     0.641238     0.569789   0.00468417     -84.8773     0.321884
      45.0000      66.3909     0.732888     0.581179   0.00562377     -83.8209     0.391995
      47.0000      61.6673     0.625998     0.587624   0.00563978     -82.8318     0.414768
      49.0000      57.7093     0.668349     0.593144   0.00597532     -81.6069     0.437594
      51.0000      54.2445     0.662599     0.599277   0.00661978     -80.5188     0.483418
      53.0000      45.6743     0.488959     0.566145   0.00678512     -77.7914     0.505965
      55.0000      35.2293     0.389651     0.476359   0.00581070     -81.3213     0.474855
      57.0000      32.3117     0.341029     0.480137   0.00653714     -82.0154     0.532210
      59.0000      30.1643     0.328987     0.485286   0.00592072     -83.7577     0.479842
      61.0000      26.9272     0.283597     0.487263   0.00618655     -85.1278     0.500799
      63.0000      25.3525     0.265372     0.493978   0.00586175     -85.8666     0.469422
      65.0000      22.0592     0.285439     0.480495    0.0108725     -87.1884     0.893152
      67.0000      20.0425     0.266438     0.481506    0.0102956     -87.1906     0.846905
      69.0000      19.6965     0.264845     0.484040   0.00825853     -84.6271     0.676572
      71.0000      18.3199     0.297240     0.479547    0.0105386     -83.6495     0.869998
      73.0000      17.8224     0.247026     0.491839   0.00799942     -83.9154     0.649895
      75.0000      16.2337     0.266583     0.491839    0.0134253     -83.9154      1.08542
      77.0000      15.5915     0.276597     0.497012    0.0141537     -85.6983      1.13975
      79.0000      14.4431     0.268516     0.497012    0.0132963     -85.6983      1.07081
      81.0000      14.0857     0.247502     0.504548    0.0133716     -85.0039      1.06935
      83.0000      14.6141     0.255562     0.529097   0.00857401     -84.0707     0.669682
      85.0000      13.4029     0.227488     0.516126   0.00999179     -84.3451     0.787231
      87.0000      13.9773     0.238476     0.533972   0.00697870     -85.0613     0.540920
      89.0000      12.5776     0.254154     0.533972   0.00937491     -85.0613     0.727481
      91.0000      11.9754     0.241789     0.542416    0.0109302     -84.9156     0.841155
      93.0000      11.8251     0.248224     0.550713   0.00957352     -85.6017     0.723451
      95.0000      11.0741     0.245646     0.550713   0.00927557     -87.4805     0.696867
      97.0000      9.07326     0.215045     0.529233    0.0144813     -85.6166      1.08066
      99.0000      8.13759     0.201713     0.516131    0.0112484     -84.6652     0.845327
      101.000      8.17201     0.205195     0.526166    0.0144791     -84.6652      1.07701
      103.000      7.95512     0.214402     0.534154    0.0125442     -83.7339     0.948641
      105.000      7.13328     0.189916     0.527428    0.0137021     -83.4902      1.04438
      107.000      6.91957     0.199054     0.527428    0.0146875     -83.4902      1.15243
      109.000      5.81937     0.196096     0.517039    0.0180859     -84.6467      1.44933
      111.000      5.83833     0.189076     0.528774    0.0201168     -85.4341      1.58768
      113.000      5.42504     0.176401     0.523195    0.0213487     -87.0871      1.71647
      115.000      5.51261     0.185974     0.534902    0.0181214     -86.8740      1.43304
      117.000      4.82593     0.181893     0.491948    0.0228768     -84.7985      1.99143
      119.000      4.52647     0.181245     0.491948    0.0466706     -85.0825      4.00309
      121.000      4.54552     0.182749     0.509352    0.0378129     -86.4820      3.16962
      123.000      4.54184     0.179359     0.509352    0.0344200     -85.7701      2.90577
      125.000      3.81022     0.185193     0.485586    0.0948939     -87.0619      8.38219
      127.000      3.60095     0.190376     0.500964    0.0765179     -85.7617      6.62310
      129.000      4.50517     0.173990     0.539349    0.0201217     -89.0557      1.64070
      131.000      4.19027     0.190556     0.526764    0.0383016     -83.1760      3.16864
      133.000      4.01012     0.185449     0.530908     0.101118     -85.8520      8.48377
      135.000      3.88176     0.184336     0.531768    0.0388086     -85.2942      3.22951
      137.000      3.47662     0.173489     0.483535    0.0928832     -89.1985      8.78706
      139.000      4.03277     0.182905     0.565646    0.0326807     -86.5077      2.65324
      141.000      3.80489     0.170490     0.529094    0.0458171     -84.6317      4.01529
      143.000      3.71806     0.175801     0.573010    0.0162940     -86.1804      1.32195
      145.000      3.83794     0.180749     0.573010  1.60000e+38     -86.1804  1.60000e+38
      147.000      3.49404     0.177716     0.573010  1.60000e+38     -86.1804  1.60000e+38
      149.000      3.59871     0.187241     0.573010  1.60000e+38     -86.1804  1.60000e+38
      151.000      3.69468     0.164836     0.573010  1.60000e+38     -86.1804  1.60000e+38
      153.000      3.41207     0.167690     0.573010  1.60000e+38     -86.1804  1.60000e+38
      155.000      3.60877     0.170268     0.573010  1.60000e+38     -86.1804  1.60000e+38
      157.000      3.39928     0.167918     0.573010  1.60000e+38     -86.1804  1.60000e+38
      159.000      3.40097     0.166950     0.573010  1.60000e+38     -86.1804  1.60000e+38
      161.000      3.47019     0.181047     0.573010  1.60000e+38     -86.1804  1.60000e+38
      163.000      3.56817     0.162752     0.573010  1.60000e+38     -86.1804  1.60000e+38
      165.000      3.33850     0.169762     0.573010  1.60000e+38     -86.1804  1.60000e+38
      167.000      2.98792     0.168323     0.573010  1.60000e+38     -86.1804  1.60000e+38
      169.000      2.79049     0.160823     0.573010  1.60000e+38     -86.1804  1.60000e+38
      171.000      3.24471     0.165028     0.573010  1.60000e+38     -86.1804  1.60000e+38
      173.000      3.20712     0.164891     0.573010  1.60000e+38     -86.1804  1.60000e+38
      175.000      2.99303     0.175838     0.573010  1.60000e+38     -86.1804  1.60000e+38
