SMA  INTENSITY  INTENSITY_ERROR  ELLIP   ELLIP_ERROR  PA  PA_ERROR
      0.00000      485.353  1.60000e+38  1.60000e+38  1.60000e+38  1.60000e+38  1.60000e+38
      1.00000      469.978      5.75310     0.636229     0.115751    -0.503501      7.92107
      2.00000      422.324      12.8219     0.366803    0.0568913     -3.77149      5.63880
      3.00000      365.261      11.5280     0.358967    0.0360570     -5.51468      3.58550
      4.00000      321.469      7.61092     0.374042    0.0289878     -8.52215      2.83986
      5.00000      292.957      5.10182     0.416487    0.0208580     -11.7061      1.89270
      6.00000      273.448      3.78452     0.461019    0.0146383     -14.5859      1.22232
      7.00000      254.328      2.76848     0.489772    0.0106899     -15.8921     0.874119
      8.00000      230.771      1.94323     0.492959    0.0118919     -16.3110     0.961287
      9.00000      213.860      1.40405     0.503719    0.0120018     -16.1091     0.961214
      10.0000      197.641      1.26054     0.501133    0.0169543     -16.2760      1.34783
      11.0000      186.741      1.13475     0.495883    0.0177727     -16.7614      1.43273
      12.0000      178.750      1.21509     0.495763    0.0134762     -17.7860      1.07920
      13.0000      169.074      1.35404     0.492137    0.0143004     -16.1469      1.15818
      14.0000      163.849      1.23305     0.508094    0.0125931     -13.5437     0.998234
      15.0000      161.915      1.29830     0.535251    0.0104091     -11.8096     0.801230
      16.0000      155.467      1.30217     0.545081    0.0110063     -10.3113     0.836125
      17.0000      149.674      1.35355     0.553039    0.0112332     -8.53291     0.855366
      18.0000      143.008      1.35392     0.556881    0.0136388     -7.76018      1.02610
      19.0000      139.327      1.34859     0.567499    0.0117710     -7.45588     0.879361
      20.0000      135.486      1.29975     0.577522    0.0120993     -7.24099     0.899034
      21.0000      132.317      1.17803     0.588630    0.0154612     -6.92119      1.14558
      22.0000      130.793      1.11693     0.604694    0.0121596     -6.64299     0.883793
      23.0000      128.213      1.11062     0.615676    0.0115879     -6.45307     0.844036
      24.0000      126.659      1.09645     0.629116    0.0123343     -6.26762     0.885104
      25.0000      125.722      1.08791     0.643206    0.0100287     -6.19733     0.719492
      26.0000      124.124      1.04602     0.653799   0.00877129     -6.19733     0.628011
      27.0000      125.434      1.05796     0.669275   0.00657549     -5.98774     0.464722
      28.0000      124.606      1.05867     0.680225   0.00681145     -5.98774     0.483194
      29.0000      122.528     0.987425     0.687799   0.00557065     -6.20249     0.395172
      30.0000      117.008     0.887530     0.687015   0.00910625     -5.79111     0.643694
      31.0000      116.544     0.909463     0.698971   0.00728405     -5.95990     0.515054
      32.0000      114.449     0.923094     0.703868   0.00753981     -5.36095     0.532368
      33.0000      111.224     0.882861     0.705863   0.00942675     -5.41084     0.661487
      34.0000      111.327      1.02191     0.715478   0.00993870     -5.41084     0.697880
      35.0000      111.968      1.00593     0.728114   0.00814931     -5.41084     0.572492
      36.0000      113.248      1.02463     0.740019    0.0105071     -5.41084     0.739432
      37.0000      110.628     0.980771     0.740019   0.00778437     -5.41084     0.548461
      38.0000      110.514      1.00166     0.746913   0.00658958     -5.48440     0.464811
      39.0000      109.393     0.973256     0.752126   0.00734234     -5.62632     0.516963
      40.0000      109.252     0.882868     0.757055   0.00485120     -5.62632     0.341013
      41.0000      107.022     0.831275     0.758811   0.00486519     -5.97264     0.344324
      42.0000      107.012     0.865402     0.764380   0.00398551     -6.02472     0.282489
      43.0000      106.535     0.796969     0.769514   0.00382501     -6.50938     0.271456
      44.0000      103.957     0.886805     0.769487   0.00466076     -6.64253     0.329124
      45.0000      99.0818     0.891826     0.764877   0.00733410     -6.94271     0.516473
      46.0000      96.7959     0.874566     0.762868   0.00612249     -7.36048     0.432913
      47.0000      91.2240     0.705079     0.739579   0.00370746     -8.06727     0.261541
      48.0000      86.8942     0.687645     0.732892   0.00472938     -8.19104     0.333082
      49.0000      80.5089     0.693036     0.714568   0.00471515     -8.97488     0.331594
      50.0000      75.9825     0.680446     0.702787   0.00565790     -8.55017     0.398088
      51.0000      73.4709     0.686059     0.701807   0.00728731     -8.49003     0.511436
      52.0000      71.2734     0.706907     0.700881   0.00707806     -8.42438     0.498367
      53.0000      68.3021     0.738816     0.697313   0.00543731     -8.46575     0.382160
      54.0000      67.7448     0.772561     0.701101   0.00577582     -8.26489     0.406250
      55.0000      65.0462     0.728244     0.698686   0.00626415     -8.52253     0.440671
      56.0000      64.6452     0.751268     0.702972   0.00552270     -8.28320     0.389273
      57.0000      62.9977     0.724031     0.704324   0.00471719     -8.32867     0.331423
      58.0000      60.6020     0.714121     0.703760   0.00616219     -8.30405     0.432249
      59.0000      58.8083     0.730631     0.705035   0.00628187     -8.29090     0.441488
      60.0000      58.6341     0.699780     0.709884   0.00484599     -8.17117     0.340238
      61.0000      55.2799     0.694601     0.702887   0.00519175     -7.66879     0.364793
      62.0000      53.4599     0.693499     0.701089   0.00484963     -7.58087     0.341036
      63.0000      52.3300     0.680162     0.701697   0.00488579     -7.56532     0.343761
      64.0000      50.5911     0.628949     0.701356   0.00554266     -7.44230     0.389504
      65.0000      48.0255     0.577334     0.697984   0.00402667     -7.58280     0.283595
      66.0000      47.5590     0.592745     0.701985   0.00450146     -7.47462     0.316354
      67.0000      45.1472     0.568919     0.700505   0.00411002     -7.60964     0.289159
      68.0000      44.5258     0.592642     0.702834   0.00409336     -7.51281     0.287830
      69.0000      43.7492     0.547406     0.705278   0.00391021     -7.47421     0.274914
      70.0000      42.1566     0.588836     0.701753   0.00416974     -7.17645     0.293545
      71.0000      39.6170     0.576343     0.698690   0.00419564     -7.26626     0.294757
      72.0000      38.6252     0.508912     0.701220   0.00422755     -7.32130     0.297009
      73.0000      37.6117     0.548025     0.702768   0.00408811     -7.53159     0.286741
      74.0000      37.0308     0.515747     0.705210   0.00394846     -7.51324     0.277003
      75.0000      35.7918     0.516660     0.706290   0.00394900     -7.51324     0.277514
      76.0000      33.6007     0.519271     0.701937   0.00392413     -7.30530     0.275528
      77.0000      34.3351     0.529319     0.709106   0.00397413     -7.33209     0.279529
      78.0000      30.4681     0.549644     0.697868   0.00540577     -7.48624     0.380641
      79.0000      29.5227     0.526740     0.697879   0.00557024     -7.08080     0.392008
      80.0000      28.2094     0.499784     0.697937   0.00401298     -6.84021     0.282289
      81.0000      27.2995     0.476491     0.699208   0.00463284     -6.84021     0.325299
      82.0000      26.5111     0.502921     0.700799   0.00502742     -6.84021     0.353873
      83.0000      25.5613     0.518684     0.701928   0.00563061     -6.87424     0.395578
      84.0000      26.0802     0.506513     0.706398   0.00430008     -6.65549     0.302417
      85.0000      25.4285     0.491672     0.708600   0.00409506     -6.65549     0.287122
      86.0000      23.0074     0.475303     0.694095   0.00404322     -6.82608     0.284466
      87.0000      21.3956     0.456641     0.693253   0.00398640     -7.09327     0.280820
      88.0000      20.2732     0.460528     0.693818   0.00439176     -7.20760     0.308479
      89.0000      19.5193     0.474149     0.695524   0.00490484     -7.18845     0.345379
      90.0000      19.5175     0.485017     0.698913   0.00442596     -7.22341     0.311391
      91.0000      18.8431     0.463595     0.700188   0.00523478     -7.22341     0.367806
      92.0000      17.2707     0.456173     0.695860   0.00682561     -7.07714     0.480156
      93.0000      16.1850     0.458051     0.694895   0.00565912     -6.97133     0.398448
      94.0000      15.4691     0.446324     0.695980   0.00550443     -6.86062     0.386908
      95.0000      15.5660     0.425963     0.698087   0.00573478     -7.39013     0.403207
      96.0000      15.0562     0.391569     0.700239   0.00534330     -7.19560     0.375856
      97.0000      14.3082     0.383407     0.700953   0.00520126     -7.30078     0.365093
      98.0000      11.8879     0.320594     0.683609   0.00515224     -6.55646     0.363295
      99.0000      11.1177     0.338561     0.683609   0.00803260     -6.32389     0.565997
      100.000      11.0479     0.330249     0.686789   0.00625118     -6.32389     0.440002
      101.000      10.7720     0.335149     0.688930   0.00814617     -6.25914     0.573495
      102.000      9.72189     0.317651     0.686832   0.00852011     -6.13975     0.600692
      103.000      9.42855     0.316287     0.688852   0.00726620     -6.33688     0.510880
      104.000      8.94324     0.319035     0.690152   0.00648201     -6.33688     0.456513
      105.000      8.34229     0.330994     0.689775   0.00790561     -6.33688     0.556101
      106.000      7.92558     0.316213     0.686387   0.00816406     -6.00480     0.572466
      107.000      7.04861     0.290598     0.680246    0.0117232     -6.22053     0.819787
      108.000      7.14003     0.296064     0.685521   0.00781524     -5.78958     0.545557
      109.000      7.04499     0.286627     0.686620   0.00830324     -5.92477     0.579124
      110.000      7.42053     0.289931     0.692462   0.00705818     -6.08067     0.490694
      111.000      6.61378     0.310219     0.690129    0.0103366     -6.28006     0.716655
      112.000      6.09788     0.293572     0.687013    0.0174426     -5.63210      1.21563
      113.000      5.68766     0.295439     0.682336    0.0135659     -6.58853     0.958895
      114.000      5.57151     0.293158     0.682875    0.0106924     -6.39775     0.765827
